,attraction_name,category,rating,reviews,categories,address,city
0,Forsyth Park,Park,4.8,16538,"Park, Tourist attraction","Forsyth Park, Savannah, GA 31401",Savannah
1,The Cathedral Basilica of St. John the Baptist,Catholic cathedral,4.8,5911,"Catholic cathedral, Catholic church, Tourist attraction","The Cathedral Basilica of St. John the Baptist, 222 E Harris St, Savannah, GA 31401",Savannah
2,Fort Pulaski National Monument,Monument,4.8,5221,"Monument, Historical place, Historical landmark, Tourist attraction","Fort Pulaski National Monument, 101 Fort Pulaski Rd, Savannah, GA",Savannah
3,Fountain at Forsyth Park,Historical landmark,4.8,4234,"Historical landmark, Tourist attraction","Fountain at Forsyth Park, 1 W Gaston St, Savannah, GA 31401",Savannah
4,Wormsloe State Historic Site,Historical place museum,4.5,3615,"Historical place museum, Museum, Park, State park","Wormsloe State Historic Site, 7601 Skidaway Rd, Savannah, GA 31406",Savannah
5,Old Town Trolley Tours of Savannah,Sightseeing tour agency,4.6,3279,"Sightseeing tour agency, Bus tour agency, Tour agency, Tour operator, Tourist attraction","Old Town Trolley Tours of Savannah, 234 Martin Luther King Jr Blvd, Savannah, GA 31401",Savannah
6,American Prohibition Museum,Museum,4.6,3113,"Museum, Art museum, Heritage museum, Historical place museum, History museum, Tourist attraction","American Prohibition Museum, 209 W Saint Julian Street, Savannah, GA 31401",Savannah
7,Sorrel Weed House Museum,History museum,4.6,2392,"History museum, Ghost town, Haunted house, Historical landmark, Historical place museum, Tour operator, Tourist attraction","Sorrel Weed House Museum, 6 W Harris St, Savannah, GA 31401",Savannah
8,Owens-Thomas House & Slave Quarters,Historical place museum,4.5,2145,"Historical place museum, Historical landmark, History museum, Museum, Tourist attraction","Owens-Thomas House & Slave Quarters, 124 Abercorn St, Savannah, GA 31401",Savannah
9,Old Fort Jackson,Historical landmark,4.7,2081,"Historical landmark, Museum, Tourist attraction","Old Fort Jackson, 1 Fort Jackson Rd, Savannah, GA 31404",Savannah
10,Hearse Ghost Tours,Tourist attraction,4.9,1912,"Tourist attraction, Entertainment agency, Tour operator, Travel clinic","Hearse Ghost Tours, 1410 E Broad St, Savannah, GA 31401",Savannah
11,Andrew Low House,Museum,4.6,1736,"Museum, Historical place museum, Tourist attraction","Andrew Low House, 329 Abercorn St, Savannah, GA 31401",Savannah
12,Old Savannah Tours,Tour operator,4.4,1712,"Tour operator, Tour agency, Tourist attraction, Tourist information center","Old Savannah Tours, 215 W Boundary St, Savannah, GA 31401",Savannah
13,Skidaway Island State Park,State park,4.7,1699,"State park, Park, Tourist attraction","Skidaway Island State Park, 52 Diamond Causeway, Savannah, GA 31411",Savannah
14,Savannah Visitor Center,Tourist information center,4.5,1680,"Tourist information center, Visitor center","Savannah Visitor Center, 301 Martin Luther King Jr Blvd, Savannah, GA 31401",Savannah
15,Oatland Island Wildlife Center,Wildlife park,4.7,1671,"Wildlife park, Wildlife refuge","Oatland Island Wildlife Center, 711 Sandtown Rd, Savannah, GA 31410",Savannah
16,Ghosts & Gravestones Tour Savannah,Sightseeing tour agency,4.1,1566,"Sightseeing tour agency, Haunted house, Tour agency, Tour operator, Tourist attraction, Tourist information center","Ghosts & Gravestones Tour Savannah, 301 E River St, Savannah, GA 31401",Savannah
17,Georgia State Railroad Museum,Rail museum,4.5,1479,"Rail museum, Museum, Tourist attraction","Georgia State Railroad Museum, 655 Louisville Rd, Savannah, GA 31401",Savannah
18,Daffin Park,Park,4.5,1470,"Park, Tourist attraction","Daffin Dog Park, E Victory Dr, Savannah, GA 31404",Savannah
19,Jepson Center & Telfair Children's Art Museum (CAM),Art museum,4.5,1251,"Art museum, Modern art museum, Tourist attraction","Jepson Center & Telfair Children's Art Museum (CAM), 207 W York St, Savannah, GA 31401",Savannah
20,Mercer Williams House Museum,Museum,4.5,1118,"Museum, Historical landmark, Tourist attraction","Mercer Williams House Museum, 429 Bull St, Savannah, GA 31401",Savannah
21,Ships Of The Sea Maritime Museum,Historical place museum,4.5,1013,"Historical place museum, Museum, Tourist attraction","Ships Of The Sea Maritime Museum, 41 Martin Luther King Jr Blvd, Savannah, GA 31401",Savannah
22,Telfair Academy,Museum,4.6,950,"Museum, Art museum, Historical landmark, History museum, Tourist attraction","Telfair Academy, 121 Barnard St, Savannah, GA 31401",Savannah
23,Davenport House Museum Entrance and Shop,Museum,4.6,943,"Museum, Tourist attraction","Davenport House Museum Entrance and Shop, 323 E Broughton St, Savannah, GA 31401",Savannah
24,Savannah History Museum,Local history museum,4.5,918,"Local history museum, History museum, Museum, Tourist attraction","Savannah History Museum, 303 Martin Luther King Jr Blvd, Savannah, GA 31401",Savannah
25,Savannah Botanical Gardens,Botanical garden,4.3,881,"Botanical garden, Tourist attraction","Savannah Botanical Gardens, 1388 Eisenhower Dr, Savannah, GA 31406",Savannah
26,Juliette Gordon Low Birthplace Museum,History museum,4.7,731,"History museum, Event venue, Historical landmark","Juliette Gordon Low Birthplace Museum, 10 E Oglethorpe Ave, Savannah, GA 31401",Savannah
27,Ellis Square,Plaza,4.6,701,"Plaza, Park, Tourist attraction","Ellis Square, Barnard St & W Congress St, Savannah, GA 31410",Savannah
28,Webb Military Museum,Army museum,4.9,686,"Army museum, Tourist attraction","Webb Military Museum, 411 E York St, Savannah, GA 31401",Savannah
29,Oglethorpe Square,Park,4.7,679,"Park, Tourist attraction","Oglethorpe Square, 127 Abercorn St, Savannah, GA 31401",Savannah
30,Emmet Park,Park,4.6,679,"Park, Tourist attraction","Emmet Park, 4089 E Bay St, Savannah, GA 31401",Savannah
31,Bonaventure Cemetery,Cemetery,4.7,654,"Cemetery, Memorial park, Military cemetery","Bonaventure Cemetery, 330 Bonaventure Rd, Thunderbolt, GA 31404",Savannah
32,Graveface Museum,Museum,4.8,642,Museum,"Graveface Museum, 410 E Lower, Factors Walk, Savannah, GA 31401",Savannah
33,Genteel & Bard | Savannah History & Ghost Walking Tours,Tour operator,4.9,636,"Tour operator, Tourist attraction","Genteel & Bard | Savannah History & Ghost Walking Tours, 24 E Liberty, Savannah, GA 31401",Savannah
34,Telfair Museums,Art museum,4.5,609,"Art museum, History museum, Tourist attraction","Telfair Museums, 207 W York St, Savannah, GA 31401",Savannah
35,UGA Marine Education Center and Aquarium,Aquarium,4.6,602,"Aquarium, Tourist attraction","UGA Marine Education Center and Aquarium, 30 Ocean Science Cir, Savannah, GA 31411",Savannah
36,Pin Point Heritage Museum,Museum,4.9,436,"Museum, Heritage museum, Tourist attraction","Pin Point Heritage Museum, 9924 Pin Point Ave, Savannah, GA 31406",Savannah
37,Ralph Mark Gilbert Civil Rights Museum,Museum,4.7,416,"Museum, Tourist attraction","Ralph Mark Gilbert Civil Rights Museum, 460 Martin Luther King Jr Blvd, Savannah, GA 31401",Savannah
38,Savannah Carriage Tours,Carriage ride service,4.5,405,"Carriage ride service, Tour operator, Tourist attraction","Savannah Carriage Tours, 98 W Bay St, Savannah, GA 31401",Savannah
39,Savannah's Waterfront,Tourist attraction,4.8,400,"Tourist attraction, Non-profit organization","Savannah's Waterfront, 1 W River St, Savannah, GA 31401",Savannah
40,Adventure Tours in Motion/Savannah Segway,Tour operator,4.9,341,"Tour operator, Tourist attraction","Adventure Tours in Motion/Savannah Segway, 412 Whitaker St C, Savannah, GA 31401",Savannah
41,The Savannah Underground,Performing arts group,4.9,333,"Performing arts group, Tourist attraction","The Savannah Underground, 415 W Boundary St, Savannah, GA 31401",Savannah
42,Telfair Square,Park,4.7,298,"Park, Historical landmark, Tourist attraction","Telfair Square, 121 Barnard St, Savannah, GA 31401",Savannah
43,Savannah Terrors Ghost Tours,Tour operator,4.8,290,"Tour operator, Sightseeing tour agency, Tour agency, Tourist attraction","Savannah Terrors Ghost Tours, 1305 Barnard St #403, Savannah, GA 31401",Savannah
44,Savannah Ogeechee Canal Museum and Nature Center,Museum,4.5,289,"Museum, Nature preserve, Tourist attraction","Savannah Ogeechee Canal Museum and Nature Center, 681 Fort Argyle Rd, Savannah, GA 31419",Savannah
45,Beach Institute African American Cultural Center,Museum,4.8,266,"Museum, Cultural center, Gift shop, History museum, Tourist attraction","Beach Institute African American Cultural Center, 502 E Harris St, Savannah, GA 31401",Savannah
46,Pulaski Square,Park,4.8,258,"Park, Tourist attraction","Pulaski Square, Savannah, GA 31401",Savannah
47,SCAD Museum of Art,Museum,4.5,256,"Museum, Art gallery, Art museum, College, Modern art museum, Private university, Tourist attraction","SCAD Museum of Art, 601 Turner Blvd, Savannah, GA 31401",Savannah
48,GUY IN THE KILT Haunted Savannah Ghost and History Tours / Pub Crawls,Tour operator,4.9,246,"Tour operator, Service establishment, Tour agency",,Savannah
49,Columbia Square,Park,4.7,244,"Park, Tourist attraction","Columbia Square, Savannah, GA 31401",Savannah
50,Original Creepy Crawl Haunted Pub Tour,Tour operator,4.4,244,"Tour operator, Entertainment agency, Sightseeing tour agency, Tourist attraction","Original Creepy Crawl Haunted Pub Tour, 245 Bull St, Savannah, GA 31401",Savannah
51,Massie Heritage Center,Museum,4.4,219,"Museum, Tourist attraction","Massie Heritage Center, 207 E Gordon St, Savannah, GA 31401",Savannah
52,Savannah African Art Museum,Museum,4.8,205,"Museum, Tourist attraction","Savannah African Art Museum, 201 E 37th St, Savannah, GA 31401",Savannah
53,Congregation Mickve Israel,Reform synagogue,4.8,175,"Reform synagogue, Tourist attraction","Congregation Mickve Israel, 20 E Gordon St, Savannah, GA 31401",Savannah
54,Whitefield Square,Park,4.7,170,"Park, Tourist attraction","Whitefield Square, 431 Habersham St, Savannah, GA 31401",Savannah
55,Bonaventure Cemetery Tours,Tour operator,4.7,164,Tour operator,"Bonaventure Cemetery Tours, 415 Bonaventure Rd, Thunderbolt, GA 31404",Savannah
56,First African Baptist Church,Baptist church,4.5,157,"Baptist church, Church, Tourist attraction","First African Baptist Church, 23 Montgomery St, Savannah, GA 31401",Savannah
57,Harper Fowlkes House,Historical place museum,4.6,156,"Historical place museum, Museum, Tourist attraction","Harper Fowlkes House, 230 Barnard St, Savannah, GA 31401",Savannah
58,Savannah GhostWalker Tour and Ghost Hunt,Sightseeing tour agency,4.9,150,"Sightseeing tour agency, Ghost town","Savannah GhostWalker Tour and Ghost Hunt, Madison Square, 332 Bull Street, S/W Corner, Savannah, GA 31401",Savannah
59,Old Town Trolley Tours Savannah (Administrative Office),Tour operator,4.5,142,"Tour operator, Tourist attraction, Transportation service","Old Town Trolley Tours Savannah (Administrative Office), 1115 Louisville Rd, Savannah, GA 31415",Savannah
60,Bonaventure Don,Cemetery,4.8,123,"Cemetery, Historical landmark, Tourist attraction","Bonaventure Don, 330 Bonaventure Rd, Thunderbolt, GA 31404",Savannah
61,Cockspur Island Lighthouse,Tourist attraction,4.7,121,Tourist attraction,"Cockspur Island Lighthouse, Savannah, GA 31410",Savannah
62,Visit Savannah,Tourist information center,4.6,104,"Tourist information center, Visitor center","Visit Savannah, 101 E Bay St, Savannah, GA 31401",Savannah
63,Nightly Spirits - Ghost Tours & Pub Crawls,Tour operator,4.9,101,"Tour operator, Tourist attraction","Nightly Spirits - Ghost Tours & Pub Crawls, 125 E Broughton St, Savannah, GA 31401",Savannah
64,Green-Meldrim House,Historical landmark,4.7,101,Historical landmark,"Green-Meldrim House, 14 W Macon St, Savannah, GA 31401",Savannah
65,SCADstory,Tourist attraction,4.9,81,"Tourist attraction, Amusement park ride, Museum, Private university","SCADstory, 342 Bull St, Savannah, GA 31401",Savannah
66,Casimir Pulaski Monument,Monument,4.7,69,"Monument, Tourist attraction","Casimir Pulaski Monument, 4 W Taylor St, Savannah, GA 31401",Savannah
67,Savannah Cruzers,Tourist attraction,4.8,51,"Tourist attraction, Sightseeing tour agency, Tour agency, Tour operator, Tourist information center","Savannah Cruzers, 330 Bonaventure Rd, Savannah, GA 31404",Savannah
68,Savannah Riverboat Sightseeing Cruise,Boat tour agency,3.9,48,Boat tour agency,"Savannah Riverboat Sightseeing Cruise, 9 E Bay St, Savannah, GA 31401",Savannah
69,King Tisdell Cottage,Historical place museum,4.6,44,"Historical place museum, Tourist attraction","King Tisdell Cottage, 514 E Huntingdon St, Savannah, GA 31401",Savannah
70,Tricentennial Park,Park,4.3,39,"Park, Tourist attraction, Visitor center","Tricentennial Park, MLK Jr Blvd @, Louisville Rd, Savannah, GA 31401",Savannah
71,James Oglethorpe Monument,Monument,4.9,22,"Monument, Tourist attraction","James Oglethorpe Monument, 3 W Perry St, Savannah, GA 31401",Savannah
