,attraction_name,link,category,categories,rating,reviews,address,city
0,Shri Sai Baba Temple Shirdi,https://www.google.com/maps/place/Shri+Sai+Baba+Temple+Shirdi/data=!4m7!3m6!1s0x3bdc5b95bf70c2f7:0x23dbc9b2db45374!8m2!3d19.7665961!4d74.4755952!16s%2Fg%2F11g01_82b2!19sChIJ98Jwv5Vb3DsRdFO0LZu8PQI?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Place of worship",4.7,69636,"QF8G+J6Q Shri Sai Baba Temple Shirdi, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
1,"Prasadalaya Shirdi , Saibaba Mandir","https://www.google.com/maps/place/Prasadalaya+Shirdi+,+Saibaba+Mandir/data=!4m7!3m6!1s0x3bdc5bbe016e51e3:0xd804beacdeb4e8c8!8m2!3d19.7699115!4d74.4718791!16s%2Fg%2F1tj7chwm!19sChIJ41FuAb5b3DsRyOi03qy-BNg?authuser=0&hl=en&rclk=1",Hindu temple,"Hindu temple, Tourist attraction",4.7,63563,"Prasadalaya Shirdi , Saibaba Mandir, New Prasadalaya Rd, Shirdi, Maharashtra 423109, India",Shirdi
2,"Sai Baba's Art Gallery , Hemant art (Sai Art Online)","https://www.google.com/maps/place/Sai+Baba%27s+Art+Gallery+,+Hemant+art+%28Sai+Art+Online%29/data=!4m7!3m6!1s0x3bdc5b95bdcc98f1:0xb2f018d8ee11c0d5!8m2!3d19.7667674!4d74.4776564!16s%2Fg%2F11c5s28b01!19sChIJ8ZjMvZVb3DsR1cAR7tgY8LI?authuser=0&hl=en&rclk=1",Art gallery,"Art gallery, Art museum, Paintings store, Tourist attraction, Tourist information center",4.9,14889,"1st floor, Sai Baba's Art Gallery , Hemant art (Sai Art Online), Sai Complex, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
3,Wet N Joy Water Park,https://www.google.com/maps/place/Wet+N+Joy+Water+Park/data=!4m7!3m6!1s0x3bdc5b95942e3f71:0xcb94475a615b8f78!8m2!3d19.774914!4d74.478156!16s%2Fg%2F11d_bknzf5!19sChIJcT8ulJVb3DsReI9bYVpHlMs?authuser=0&hl=en&rclk=1,Water park,"Water park, Tourist attraction",4.3,11526,"Wet N Joy Water Park, Water Park Shirdi, Shirdi, Maharashtra 423109, India",Shirdi
4,Sai Teerth Devotional Theme Park,https://www.google.com/maps/place/Sai+Teerth+Devotional+Theme+Park/data=!4m7!3m6!1s0x3bdc5b98387ed5e3:0x1e126730a7837691!8m2!3d19.7741606!4d74.4769201!16s%2Fg%2F11f57wjxhv!19sChIJ49V-OJhb3DsRkXaDpzBnEh4?authuser=0&hl=en&rclk=1,Theme park,"Theme park, Tourist attraction",4.8,11428,"QFFG+MM4 Sai Teerth Devotional Theme Park, opp. to Wet N Joy Waterpark, Shirdi, Maharashtra 423109, India",Shirdi
5,Sai Heritage Village,https://www.google.com/maps/place/Sai+Heritage+Village/data=!4m7!3m6!1s0x3bdc5be799babbcf:0x274b0c554d1dcb6b!8m2!3d19.7483452!4d74.478615!16s%2Fg%2F11b6g93rzg!19sChIJz7u6medb3DsRa8sdTVUMSyc?authuser=0&hl=en&rclk=1,Heritage museum,"Heritage museum, Art museum, History museum, Tourist attraction",4.3,7203,"Sai Heritage Village, AHMEDNAGAR-MANMAD HIGHWAY SHIRDI, TALUKA, Rahata, Maharashtra 423107, India",Shirdi
6,Dwarkamai Shirdi,https://www.google.com/maps/place/Dwarkamai+Shirdi/data=!4m7!3m6!1s0x3bdc5b95a1bdc247:0x7497fb1646dd2d62!8m2!3d19.7660542!4d74.477415!16s%2Fg%2F11rvz3hcm!19sChIJR8K9oZVb3DsRYi3dRhb7l3Q?authuser=0&hl=en&rclk=1,Place of worship,"Place of worship, Religious destination, Tourist attraction",4.7,2059,"QF8G+CXF Dwarkamai Shirdi, Pimpalwadi Road, Rahata, Dist. Ahmednagar, near Vishal textile, opp. Dwarkamai Temple, Shirdi, Maharashtra 423109, India",Shirdi
7,Shree Saibaba Chavadi,https://www.google.com/maps/place/Shree+Saibaba+Chavadi/data=!4m7!3m6!1s0x3bdc5b95a6ce8d21:0xe0d772012a9a9a77!8m2!3d19.7660671!4d74.4776776!16s%2Fg%2F1hf390hdk!19sChIJIY3OppVb3DsRd5qaKgFy1-A?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.8,372,"Shree Saibaba Chavadi, Shirdi - Puntamba Rd, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
8,Chhatrapati Sambhaji Park,https://www.google.com/maps/place/Chhatrapati+Sambhaji+Park/data=!4m7!3m6!1s0x3bdc5bbf7be615f7:0x90beaac2d79768b!8m2!3d19.7629339!4d74.4721624!16s%2Fg%2F1hm1pwpyp!19sChIJ9xXme79b3DsRi3Z5LazqCwk?authuser=0&hl=en&rclk=1,Garden,Garden,4.3,362,"Chhatrapati Sambhaji Park, Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
9,Sai Travel Shirdi,https://www.google.com/maps/place/Sai+Travel+Shirdi/data=!4m7!3m6!1s0x3bdc5b0edd33cc67:0x426724d033226e02!8m2!3d19.7628299!4d74.476079!16s%2Fg%2F11hyn7wtgs!19sChIJZ8wz3Q5b3DsRAm4iM9AkZ0I?authuser=0&hl=en&rclk=1,Travel agency,"Travel agency, Tourist attraction",4.1,303,"Sai Travel Shirdi, Opp St Satnd, Shirdi, Maharashtra 423109, India",Shirdi
10,Shri Khandoba Mandir,https://www.google.com/maps/place/Shri+Khandoba+Mandir/data=!4m7!3m6!1s0x3bdc5b955f4147cd:0x3282abef784971e1!8m2!3d19.7639441!4d74.4760473!16s%2Fg%2F1hjhhmcfg!19sChIJzUdBX5Vb3DsR4XFJeO-rgjI?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.7,829,"QF7G+HCF Shri Khandoba Mandir, Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
11,Old Shirdi (Baba's Heritage Village) shirdi,https://www.google.com/maps/place/Old+Shirdi+%28Baba%27s+Heritage+Village%29+shirdi/data=!4m7!3m6!1s0x3bdc5b5273456d49:0x56b9229b699b1b8f!8m2!3d19.7482395!4d74.4786968!16s%2Fg%2F11f6mgbx5y!19sChIJSW1Fc1Jb3DsRjxubaZsiuVY?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,436,"PFXH+7FW Old Shirdi (Baba's Heritage Village) shirdi, Shirdi, Maharashtra 423107, India",Shirdi
12,Lendi Garden / Baug,https://www.google.com/maps/place/Lendi+Garden+%2F+Baug/data=!4m7!3m6!1s0x3bdc5bbe29baa365:0x2575affae1516211!8m2!3d19.7661104!4d74.4758758!16s%2Fg%2F1hjh6hy8j!19sChIJZaO6Kb5b3DsREWJR4fqvdSU?authuser=0&hl=en&rclk=1,Park,Park,4.5,212,"QF8G+C9R Lendi Garden / Baug, MH SH 10, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
13,Dixit Wada Museum,https://www.google.com/maps/place/Dixit+Wada+Museum/data=!4m7!3m6!1s0x3bdc5b9585537d4b:0xe9b62fb1d49b34af!8m2!3d19.7663922!4d74.476712!16s%2Fg%2F11clyfw7gc!19sChIJS31ThZVb3DsRrzSb1LEvtuk?authuser=0&hl=en&rclk=1,Museum,"Museum, Tourist attraction",4.4,185,"QF8G+HM4 Dixit Wada Museum, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
14,Sai Shraddha Tourism,https://www.google.com/maps/place/Sai+Shraddha+Tourism/data=!4m7!3m6!1s0x3bdc5b94504ac04d:0x619caf424aaca8e!8m2!3d19.7670022!4d74.4783203!16s%2Fg%2F1pp2tz6w1!19sChIJTcBKUJRb3DsRjsqqJPTKGQY?authuser=0&hl=en&rclk=1,Car rental agency,"Car rental agency, Airport shuttle service, Bus tour agency, Car leasing service, Hotel, Taxi service, Tour agency, Tour operator, Tourist attraction, Travel agency",4.4,127,"Sai Shraddha Tourism, Pimpalwadi Road,Shirdi Near Andhra Bank, Tal:-Rahata, Dist:, Shirdi, Maharashtra 423109, India",Shirdi
15,"""I LOVE SHIRDI""",https://www.google.com/maps/place/%22I+LOVE+SHIRDI%22/data=!4m7!3m6!1s0x3bdc5b343c871e59:0xa2572330cccfd461!8m2!3d19.7663312!4d74.4753601!16s%2Fg%2F11rmq9lzsp!19sChIJWR6HPDRb3DsRYdTPzDAjV6I?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,55,"QF8G+G4 ""I LOVE SHIRDI"", Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
16,SHIRDI CITY SIGN (shirddii),https://www.google.com/maps/place/SHIRDI+CITY+SIGN+%28%E0%A4%B6%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A1%E0%A5%80%29/data=!4m7!3m6!1s0x3bdc5b9de52d45c3:0xc38a950adf7cb5f9!8m2!3d19.7696407!4d74.4743785!16s%2Fg%2F11j2rv0k03!19sChIJw0Ut5Z1b3DsR-bV83wqVisM?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,52,"QF9F+VQ2 SHIRDI CITY SIGN (shirddii), Shirdi, Maharashtra 423109, India",Shirdi
