,attraction_name,category,rating,reviews,categories,address,city
0,Meymand Rocky Village,Historical place,4.7,133,"Historical place, Tourist attraction","Meymand Rocky Village, 69JH+H2W, Meymand, Kerman Province, Iran",Meymand
1,mymnd,Tourist attraction,4.8,6,Tourist attraction,"mymnd, VQP7+J85, Meymand, Fars Province, Iran",Meymand
2,Hmm qdym mymnd,Tourist attraction,4.3,4,Tourist attraction,"Kerman Province, Meymand, jdh mymnd, Hmm qdym mymnd, Iran",Meymand
3,Park Meymand,Park,4,4,Park,"Park Meymand, 69HG+4CC, Meymand, Kerman Province, Iran",Meymand
4,shkhft,Tourist attraction,5,2,Tourist attraction,"shkhft, 7949+GGQ, Meymand, Kerman Province, Iran",Meymand
5,mymnd,Tourist attraction,5,1,Tourist attraction,"mymnd, 47V9+6G4, Meymand, Iran",Meymand
6,Dena Protected Area,National park,4.4,89,"National park, Tourist attraction","Kohgiluyeh and Boyer-Ahmad Province, 55, XCG3+8V2 Dena Protected Area, Iran",Yasouj
7,Khafr Waterfall,Tourist attraction,4.4,39,Tourist attraction,"Khafr, stn Sfhn,, XCVV+M6V Khafr Waterfall, Iran",Yasouj
8,Yasuj,,,,,"Yasuj, Kohgiluyeh and Boyer-Ahmad Province, Iran",Yasouj
9,Yasuj waterfall,Tourist attraction,4,593,Tourist attraction,"Yasuj waterfall, MJGH+H3P, Yasuj, Kohgiluyeh and Boyer-Ahmad Province, Iran",Yasouj
10,Tang-e Tamoradi Waterfall,Tourist attraction,4.5,413,Tourist attraction,"Kohgiluyeh and Boyer-Ahmad Province, Baba Meydan-e Sofla, jdh yswj-bbmydn, GC79+CCG Tang-e Tamoradi Waterfall, Iran",Yasouj
11,Saheli Park,City park,4,172,"City park, Tourist attraction","Saheli Park, JJV4+GF8, Yasuj, Kohgiluyeh and Boyer-Ahmad Province, Iran",Yasouj
12,tng mhryn,Tourist attraction,4.4,67,Tourist attraction,"Kohgiluyeh and Boyer-Ahmad Province, Yasuj, jdh yswj-qlyd, PH3J+477 tng mhryn, Iran",Yasouj
13,kuh gol Lake,Tourist attraction,4.5,37,Tourist attraction,"Kohgiluyeh and Boyer-Ahmad Province, khwh gl, RGPR+788 kuh gol Lake, Iran",Yasouj
